COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE;SITUACAO
5200050;1050;Abadia de Goiás;ABADIA DE GOIAS;GO;Goiás;8958;0;CO;0,708;0,83;0,622;0,687;Não Cadastrado
3100104;4001;Abadia dos Dourados;ABADIA DOS DOURADOS;MG;Minas Gerais;7006;0;SE;0,689;0,839;0,563;0,693;Aprovado
5200100;9201;Abadiânia;ABADIANIA;GO;Goiás;20461;0;CO;0,689;0,841;0,579;0,671;Não Cadastrado
3100203;4003;Abaeté;ABAETE;MG;Minas Gerais;23250;0;SE;0,698;0,848;0,556;0,72;Aprovado
1500107;401;Abaetetuba;ABAETETUBA;PA;Pará;159080;0;N;0,628;0,798;0,537;0,579;Aprovado
2300101;1301;Abaiara;ABAIARA;CE;Ceará;11853;0;NE;0,628;0,748;0,612;0,54;Aprovado
2900108;3301;Abaíra;ABAIRA;BA;Bahia;8710;0;NE;0,603;0,746;0,51;0,577;Aprovado
2900207;3303;Abaré;ABARE;BA;Bahia;20347;0;NE;0,575;0,776;0,46;0,533;Aprovado
4100103;7401;Abatiá;ABATIA;PR;Paraná;7408;0;S;0,687;0,804;0,596;0,676;Aprovado
4200051;9939;Abdon Batista;ABDON BATISTA;SC;Santa Catarina;2548;0;S;0,694;0,812;0,625;0,66;Aprovado
1500131;375;Abel Figueiredo;ABEL FIGUEIREDO;PA;Pará;7486;0;N;0,622;0,8;0,481;0,625;Aprovado
4200101;8001;Abelardo Luz;ABELARDO LUZ;SC;Santa Catarina;17960;0;S;0,696;0,852;0,578;0,684;Aprovado
3100302;4005;Abre Campo;ABRE CAMPO;MG;Minas Gerais;13444;0;SE;0,654;0,823;0,525;0,646;Aprovado
2600054;2631;Abreu e Lima;ABREU E LIMA;PE;Pernambuco;100346;0;NE;0,679;0,791;0,632;0,625;Aprovado
1700251;337;Abreulândia;ABREULANDIA;TO;Tocantins;2594;0;N;0,665;0,835;0,502;0,7;Aprovado
3100401;4007;Acaiaca;ACAIACA;MG;Minas Gerais;3994;0;SE;0,63;0,823;0,499;0,61;Aprovado
2100055;961;Açailândia;ACAILANDIA;MA;Maranhão;113121;0;NE;0,672;0,785;0,602;0,643;Aprovado
2900306;3305;Acajutiba;ACAJUTIBA;BA;Bahia;15187;0;NE;0,582;0,723;0,487;0,56;Aprovado
1500206;403;Acará;ACARA;PA;Pará;55669;0;N;0,506;0,757;0,332;0,517;Não Cadastrado
2300150;1231;Acarape;ACARAPE;CE;Ceará;15036;0;NE;0,606;0,709;0,562;0,559;Aprovado
