UF;MUNICIPIOS;TRANSFERIDO;SALDO_CONTA;PORCENT_SALDO;PORCENT_EXECUTADO
MG;ABADIA DOS DOURADOS;65849.2;14.11;0.00021427747034132534;0.9997857225296587
MG;ABAETE;184561.08;20.15;0.0001091779480267454;0.9998908220519732
PA;ABAETETUBA;1135508.09;1.23;0.0000010832155321764373;0.9999989167844678
CE;ABAIARA;102603.05;103302.04;10.068.125.655.134.000;0
BA;ABAIRA;76839.48;0;0;1
BA;ABARE;168568.89;22455.99;0.1332155061352068;0.8667844938647932
PR;ABATIA;69745.82;70211.64;10.066.788.231.896.900;0
SC;ABDON BATISTA;36346.13;7.89;0.0002170795075018991;0.9997829204924981
PA;ABEL FIGUEIREDO;62728.47;0;0;1
SC;ABELARDO LUZ;145646.5;1222.6;0.008394297150978567;0.9916057028490214
MG;ABRE CAMPO;120057.82;120860.08;10.066.822.802.546.300;0
PE;ABREU E LIMA;705877.48;402116.09;0.5696683934441428;0.4303316065558572
TO;ABREULANDIA;34751.81;34987.78;10.067.901.499.231.200;0
MG;ACAIACA;48749.76;49074.82;1.006.667.930.262.630;0
MA;ACAILANDIA;760384.29;386168.4;0.5078595192964862;0.4921404807035138
BA;ACAJUTIBA;131457.14;40.79;0.0003102912477785535;0.9996897087522214
CE;ACARAPE;129725.39;19683.21;0.15172981942856367;0.8482701805714363
CE;ACARAU;464416.03;467525.54;10.066.955.268.533.600;0
RN;ACARI;97890.82;19032.35;0.19442425755550927;0.8055757424444907
PI;ACAUA;61786.67;9.75;0.00015780102730896488;0.999842198972691
RS;ACEGUA;51568.19;51915.72;10.067.392.320.731.000;0
CE;ACOPIARA;406000;13683.02;0.0337020197044335;0.9662979802955665
AC;ACRELANDIA;114369.36;24.55;0.00021465539371733828;0.9997853446062827
GO;ACREUNA;174915.85;7595.76;0.04342522418637305;0.9565747758136269
RN;ACU;425595.38;41640.11;0.09783966639863431;0.9021603336013657
MG;ACUCENA;80014.05;16591.77;0.20736070727578468;0.7926392927242153
SP;ADAMANTINA;265441.21;64.29;0.00024220052342287018;0.9997577994765772
GO;ADELANDIA;37976.12;0;0;1
BA;ADUSTINA;151178.27;0;0;1
PE;AFOGADOS DA INGAZEIRA;284724.79;50.44;0.00017715352428567953;0.9998228464757143
RN;AFONSO BEZERRA;97313.24;19950.95;0.20501783724393516;0.7949821627560648
ES;AFONSO CLAUDIO;240243.42;48365.39;0.20131827127669094;0.798681728723309
PE;AFRANIO;166103.35;25772.06;0.1551567743817328;0.8448432256182672
PA;AFUA;284764.42;168860.84;0.5929843342086065;0.4070156657913935
PE;AGRESTINA;205077.44;25434.98;0.12402622150929912;0.8759737784907009
PI;AGRICOLANDIA;50681.59;29923.43;0.5904201111291102;0.4095798888708898
SC;AGROLANDIA;90977.27;91584.89;10.066.788.110.920.400;0
SC;AGRONOMICA;52817.3;53169.48;10.066.678.910.129.800;0
PA;AGUA AZUL DO NORTE;203939.31;205299.16;10.066.679.150.772.800;0
MG;AGUA BOA;121662.14;122475.12;10.066.822.760.145.400;0
MT;AGUA BOA;194468.84;124022.73;0.6377511687733624;0.36224883122663765
AL;AGUA BRANCA;170165.81;30.27;0.0001778853225568638;0.9998221146774431
PB;AGUA BRANCA;92711.49;3773.8;0.04070477132877489;0.9592952286712251
PI;AGUA BRANCA;142088.69;26.11;0.00018375846803851876;0.9998162415319615
SC;AGUA DOCE;62506.5;62923.29;10.066.679.465.335.600;0
ES;AGUA DOCE DO NORTE;95721;96360.3;10.066.787.852.195.400;0
RN;AGUA NOVA;44300.26;2319.51;0.05235883491428719;0.9476411650857128
PE;AGUA PRETA;281938.64;20341.88;0.07215002526790935;0.9278499747320906
RS;AGUA SANTA;44985.33;14.24;0.0003165476389747502;0.9996834523610253
SP;AGUAI;272503.65;64.48;0.00023662068379634547;0.9997633793162036
